Business;Address;Zip Code;Geopoint
Amelia's Bistro;187 Warren Street;7302;40.713727,-74.040035
Amiya;101 Hudson Street;7302;40.716073,-74.035001
Bikanervala;815 Newark Avenue;7306;40.735418,-74.065589
Franklin Social;292 Barrow Street;7302;40.718841,-74.045521
Hot Breads;808 Newark Avenue;7306;40.735859,-74.065261
Keyhole Bar;242 Bay Street;7302;40.72124,-74.044524
La Cote;199 Warren Street;7302;40.714219,-74.039803
Moore's Place;189 Monticello Avenue;7304;40.721188,-74.070481
Sam A.M.;112 Morris Street;7302;40.714257,-74.039003
Short Grain;183 Montgomery Street;7302;40.717096,-74.042985
Skinnerâ€™s Loft;146 Newark Avenue;7302;40.72063,-74.043765
The Boil;8 Erie Street;7302;40.721215,-74.044072
The Cliff;38 Congress Street;7307;40.749283,-74.041483
902 Brewing Co.;101 Pacific Avenue;7304;40.706732,-74.069451
Busy Bee Organics;451 Palisade Avenue;7307;40.744167,-74.04449
Cherry's Lounge;102 Martin Luther King Jr. Drive;7305;40.70348,-74.087455
Cool Vines;350 Warren Street;7302;40.720089,-74.038315
Crema;695 Bergen Avenue;7304;40.723857,-74.070436
Fox & Crow;594 Palisades Avenue;7307;40.748636,-74.041036
Gringos;12 Coles Street;7302;40.721583,-74.047504
Light Rail Cafe;237 Randolph Avenue;7304;40.711583,-74.070884
Sol Azteca;328 Montgomery Street;7302;40.719469,-74.049633
Treehouse Coffee Shop;434 West Side Avenue;7304;40.716045,-74.085976
Two Boots Pizza;133 Newark Avenue;7302;40.720146,-74.043629
512 Quantum Sound;512 Paterson Plank Road;7307;40.755095,-74.043474
Ani Ramen;218 Newark Avenue;7302;40.722333,-74.046992
Churrasqueria;542 Newark Avenue;7306;40.731104,-74.055853
Crave Cafe & Cigars;61B Baldwin Avenue;7306;40.724063,-74.064194
Cryo Cream Corp;413 Monmouth St;7302;40.723996,-74.049175
Deccan Spice;771 Newark Avenue;7306;40.735229,-74.063851
Freetown Road Project;640 Newark Avenue;7306;40.73396,-74.058212
Green Pear Heights;93 Franklin Street;7307;40.742151,-74.048905
Guerrero Restaurant;6 Jordan Avenue;7306;40.724004,-74.066274
Hudson Hall;364 Marin Boulevard;7302;40.721272,-74.04082
Pint Cafe;34 Wayne Street;7302;40.718953,-74.043375
Rajbhog;812 Newark Avenue;7306;40.735872,-74.065439
Satis Bistro;212 Washington Street;7302;40.714401,-74.037541
Sub Culture;260 Newark Avenue;7302;40.723179,-74.048826
Swadist;715 Newark Avenue;7306;40.734922,-74.061427
The Kitchen Step;500 Jersey Avenue;7302;40.719716,-74.046991
Departed Soles;150 Bay Street;7302;40.721022,-74.039921
Dosa Hut;777 Newark Avenue;7306;40.735276,-74.06407
Ed & Mary's;174 Coles Street;7302;40.72856,-74.046525
Hudson Hound;8 Erie Street;7302;40.721215,-74.044072
Ibby Falafel Inc.;303 Grove Street;7302;40.718758,-74.043631
Jayhan's Grill;456 West Side Avenue;7304;40.716658,-74.085133
Light Horse Tavern;199 Washington Street;7302;40.714012,-74.038317
MariaCarmen Supermarket;407 Palisade Avenue;7307;40.742712,-74.0454
Marion Branch Public Library;1017 West Side Ave;7306;40.734165,-74.071764
Rosita's Yah;203 Academy;7306;40.727434,-74.063496
The Franklin Bistro;159 New York Avenue;7307;40.7417,-74.046995
Abbey's Pub;407 Monmouth Street;7302;40.723815,-74.049125
Brightside Tavern;141 Bright Street;7302;40.717893,-74.051545
Cafe Peanut;586 Newark Avenue;7306;40.732368,-74.056898
Cellar 335;335 Newark Avenue;7302;40.725055,-74.051516
Grape Vine Tavern;657 Newark Avenue;7306;40.734149,-74.058924
Koro Koro Rice Ball Cafe;538 Jersey Avenue;7302;40.721228,-74.046158
Little Dove Cafe;589 Palisades Avenue;7307;40.748642,-74.041554
Lokal;2 2nd Street;7302;40.721566,-74.031736
Paratha Junction;779 Newark Avenue;7306;40.735285,-74.06416
Pasta Dal Cuore;537 Jersey Avenue;7302;40.721286,-74.04659
Pias Rest./Honest;811 Newark Avenue;7306;40.735442,-74.065108
Plant Base;370 Pacific Avenue;7304;40.712815,-74.060229
Rasoi Restaurant;810 Newark Avenue;7306;40.735857,-74.065352
Razza;275 Grove Street;7302;40.717776,-74.044376
Wurstbar;516 Jersey Avenue;7302;40.720377,-74.046482
